ID,Name,OVR,Original Position,Functional Role,Is Primary Functional Role,Is Official Alternative Functional Role,Is Officially Eligible,Role Suitability Probability
212622,Joshua Kimmich,89,Defensive Midfielder,Attacking Midfielder,False,False,False,0.006664887540589222
212622,Joshua Kimmich,89,Defensive Midfielder,Center Back,False,False,False,0.0006169571238350025
212622,Joshua Kimmich,89,Defensive Midfielder,Central Midfielder,False,True,True,0.2621363198128804
212622,Joshua Kimmich,89,Defensive Midfielder,Defensive Midfielder,True,False,True,0.5292279212835875
212622,Joshua Kimmich,89,Defensive Midfielder,Fullback,False,True,True,0.19966198414183625
212622,Joshua Kimmich,89,Defensive Midfielder,Striker,False,False,False,2.4557918951524297e-07
212622,Joshua Kimmich,89,Defensive Midfielder,Wide Midfielder,False,False,False,0.001468305585688809
212622,Joshua Kimmich,89,Defensive Midfielder,Winger,False,False,False,0.00022337893239320658
202126,Harry Kane,89,Striker,Attacking Midfielder,False,False,False,0.01389377180828438
202126,Harry Kane,89,Striker,Center Back,False,False,False,1.4042124775142375e-16
202126,Harry Kane,89,Striker,Central Midfielder,False,False,False,2.4878284789583927e-06
202126,Harry Kane,89,Striker,Defensive Midfielder,False,False,False,1.0610942993770305e-12
202126,Harry Kane,89,Striker,Fullback,False,False,False,3.6415600385350696e-13
202126,Harry Kane,89,Striker,Striker,True,False,True,0.9841806203997862
202126,Harry Kane,89,Striker,Wide Midfielder,False,False,False,0.0002522811447950981
202126,Harry Kane,89,Striker,Winger,False,False,False,0.001670838817230073
239053,Federico Valverde,89,Central Midfielder,Attacking Midfielder,False,False,False,0.018619241067156844
239053,Federico Valverde,89,Central Midfielder,Center Back,False,False,False,0.00010736619605478942
239053,Federico Valverde,89,Central Midfielder,Central Midfielder,True,False,True,0.6911176064634604
239053,Federico Valverde,89,Central Midfielder,Defensive Midfielder,False,True,True,0.2756052930560902
239053,Federico Valverde,89,Central Midfielder,Fullback,False,True,True,0.01111067615989449
239053,Federico Valverde,89,Central Midfielder,Striker,False,False,False,7.778291782822843e-05
239053,Federico Valverde,89,Central Midfielder,Wide Midfielder,False,False,False,0.002528796096319142
239053,Federico Valverde,89,Central Midfielder,Winger,False,False,False,0.0008332380431958623
238794,Vini Jr.,89,Left Winger,Attacking Midfielder,False,False,False,0.04817129417581897
238794,Vini Jr.,89,Left Winger,Center Back,False,False,False,4.868295264336376e-26
238794,Vini Jr.,89,Left Winger,Central Midfielder,False,False,False,2.3899954532115927e-07
238794,Vini Jr.,89,Left Winger,Defensive Midfielder,False,False,False,1.166499980001769e-16
238794,Vini Jr.,89,Left Winger,Fullback,False,False,False,7.642611045967958e-15
238794,Vini Jr.,89,Left Winger,Striker,False,True,True,0.002033655178148131
238794,Vini Jr.,89,Left Winger,Wide Midfielder,False,True,True,0.14500413856099775
238794,Vini Jr.,89,Left Winger,Winger,True,False,True,0.804790673085482
256630,Florian Wirtz,89,Attacking Midfielder,Attacking Midfielder,True,False,True,0.7740215308522155
256630,Florian Wirtz,89,Attacking Midfielder,Center Back,False,False,False,5.472291592990835e-18
256630,Florian Wirtz,89,Attacking Midfielder,Central Midfielder,False,True,True,0.005366171048903475
256630,Florian Wirtz,89,Attacking Midfielder,Defensive Midfielder,False,False,False,1.3239629765920947e-08
256630,Florian Wirtz,89,Attacking Midfielder,Fullback,False,False,False,2.7859749906822442e-09
256630,Florian Wirtz,89,Attacking Midfielder,Striker,False,True,True,5.87444208641638e-05
256630,Florian Wirtz,89,Attacking Midfielder,Wide Midfielder,False,False,False,0.08631243688313228
256630,Florian Wirtz,89,Attacking Midfielder,Winger,False,False,False,0.1342411007692798
188545,Robert Lewandowski,88,Striker,Attacking Midfielder,False,False,False,0.008198826262140302
188545,Robert Lewandowski,88,Striker,Center Back,False,False,False,3.2548258540552527e-18
188545,Robert Lewandowski,88,Striker,Central Midfielder,False,False,False,1.245738119779844e-06
188545,Robert Lewandowski,88,Striker,Defensive Midfielder,False,False,False,2.2320914406384555e-13
188545,Robert Lewandowski,88,Striker,Fullback,False,False,False,1.8991962014269168e-14
188545,Robert Lewandowski,88,Striker,Striker,True,False,True,0.987855829157498
188545,Robert Lewandowski,88,Striker,Wide Midfielder,False,False,False,0.00048268713856583587
188545,Robert Lewandowski,88,Striker,Winger,False,False,False,0.003461411703433797
231478,Lautaro Martínez,88,Striker,Attacking Midfielder,False,False,False,0.0030687858867959376
231478,Lautaro Martínez,88,Striker,Center Back,False,False,False,2.809315521573865e-15
231478,Lautaro Martínez,88,Striker,Central Midfielder,False,False,False,1.3121478286622666e-06
231478,Lautaro Martínez,88,Striker,Defensive Midfielder,False,False,False,3.665388835788069e-12
231478,Lautaro Martínez,88,Striker,Fullback,False,False,False,6.979225852862676e-12
231478,Lautaro Martínez,88,Striker,Striker,True,False,True,0.9957760401692645
231478,Lautaro Martínez,88,Striker,Wide Midfielder,False,False,False,0.00017547390032130112
231478,Lautaro Martínez,88,Striker,Winger,False,False,False,0.0009783878851422389
233731,Alexander Isak,88,Striker,Attacking Midfielder,False,False,False,0.0029956218494195525
233731,Alexander Isak,88,Striker,Center Back,False,False,False,1.2030835088867535e-19
233731,Alexander Isak,88,Striker,Central Midfielder,False,False,False,3.2805766345249466e-08
233731,Alexander Isak,88,Striker,Defensive Midfielder,False,False,False,1.5337916656907784e-15
233731,Alexander Isak,88,Striker,Fullback,False,False,False,5.618240399420372e-14
233731,Alexander Isak,88,Striker,Striker,True,False,True,0.9845391432560429
233731,Alexander Isak,88,Striker,Wide Midfielder,False,False,False,0.002067284717155881
233731,Alexander Isak,88,Striker,Winger,False,False,False,0.010397917371557725
256790,Jamal Musiala,88,Attacking Midfielder,Attacking Midfielder,True,False,True,0.9299525253143699
256790,Jamal Musiala,88,Attacking Midfielder,Center Back,False,False,False,1.2683242313402955e-10
256790,Jamal Musiala,88,Attacking Midfielder,Central Midfielder,False,True,True,0.011541869610466044
256790,Jamal Musiala,88,Attacking Midfielder,Defensive Midfielder,False,False,False,9.285781122421663e-07
256790,Jamal Musiala,88,Attacking Midfielder,Fullback,False,False,False,2.370654758649352e-07
256790,Jamal Musiala,88,Attacking Midfielder,Striker,False,True,True,0.01810996378703713
256790,Jamal Musiala,88,Attacking Midfielder,Wide Midfielder,False,True,True,0.018325120595811616
256790,Jamal Musiala,88,Attacking Midfielder,Winger,False,False,False,0.022069354921894754
232580,Gabriel,88,Center Back,Attacking Midfielder,False,False,False,1.659932378779532e-13
232580,Gabriel,88,Center Back,Center Back,True,False,True,0.9997095821450804
232580,Gabriel,88,Center Back,Central Midfielder,False,False,False,8.82675666298506e-09
232580,Gabriel,88,Center Back,Defensive Midfielder,False,False,False,0.00029040141993447405
232580,Gabriel,88,Center Back,Fullback,False,False,False,7.608060610911514e-09
232580,Gabriel,88,Center Back,Striker,False,False,False,3.9059685045298814e-16
232580,Gabriel,88,Center Back,Wide Midfielder,False,False,False,1.572054340714847e-15
232580,Gabriel,88,Center Back,Winger,False,False,False,7.242758280831444e-18
246669,Bukayo Saka,88,Right Winger,Attacking Midfielder,False,False,False,0.09795456677640049
246669,Bukayo Saka,88,Right Winger,Center Back,False,False,False,8.132523070606987e-14
246669,Bukayo Saka,88,Right Winger,Central Midfielder,False,False,False,0.0010223344607360537
246669,Bukayo Saka,88,Right Winger,Defensive Midfielder,False,False,False,1.1686897778746621e-07
246669,Bukayo Saka,88,Right Winger,Fullback,False,False,False,1.0416808213476582e-05
246669,Bukayo Saka,88,Right Winger,Striker,False,False,False,0.00037656635568339463
246669,Bukayo Saka,88,Right Winger,Wide Midfielder,False,True,True,0.4636782264920498
246669,Bukayo Saka,88,Right Winger,Winger,True,False,True,0.4369577722378577
257534,Cole Palmer,87,Attacking Midfielder,Attacking Midfielder,True,False,True,0.7852366788251416
257534,Cole Palmer,87,Attacking Midfielder,Center Back,False,False,False,1.0686992526792848e-16
257534,Cole Palmer,87,Attacking Midfielder,Central Midfielder,False,False,False,0.002226206237810462
257534,Cole Palmer,87,Attacking Midfielder,Defensive Midfielder,False,False,False,2.1949666325420166e-09
257534,Cole Palmer,87,Attacking Midfielder,Fullback,False,False,False,1.3593787228204634e-09
257534,Cole Palmer,87,Attacking Midfielder,Striker,False,True,True,0.001963738102989457
257534,Cole Palmer,87,Attacking Midfielder,Wide Midfielder,False,True,True,0.08313283098602234
257534,Cole Palmer,87,Attacking Midfielder,Winger,False,False,False,0.1274405422936907
247635,Khvicha Kvaratskhelia,87,Left Winger,Attacking Midfielder,False,False,False,0.6434743695943643
247635,Khvicha Kvaratskhelia,87,Left Winger,Center Back,False,False,False,1.1823919312153544e-12
247635,Khvicha Kvaratskhelia,87,Left Winger,Central Midfielder,False,False,False,0.00880645526978784
247635,Khvicha Kvaratskhelia,87,Left Winger,Defensive Midfielder,False,False,False,2.648952924146869e-07
247635,Khvicha Kvaratskhelia,87,Left Winger,Fullback,False,False,False,2.401266821500338e-07
247635,Khvicha Kvaratskhelia,87,Left Winger,Striker,False,False,False,0.007914079836444154
247635,Khvicha Kvaratskhelia,87,Left Winger,Wide Midfielder,False,True,True,0.15828817198022077
247635,Khvicha Kvaratskhelia,87,Left Winger,Winger,True,False,True,0.181516418296026
237383,Alessandro Bastoni,87,Center Back,Attacking Midfielder,False,False,False,5.652271753918474e-11
237383,Alessandro Bastoni,87,Center Back,Center Back,True,False,True,0.9849969460502417
237383,Alessandro Bastoni,87,Center Back,Central Midfielder,False,False,False,2.0366096685669814e-06
237383,Alessandro Bastoni,87,Center Back,Defensive Midfielder,False,False,False,0.014520007579211068
237383,Alessandro Bastoni,87,Center Back,Fullback,False,False,False,0.00048100952763181244
237383,Alessandro Bastoni,87,Center Back,Striker,False,False,False,4.254912608126495e-16
237383,Alessandro Bastoni,87,Center Back,Wide Midfielder,False,False,False,1.7604613028744113e-10
237383,Alessandro Bastoni,87,Center Back,Winger,False,False,False,6.775039866941434e-13
215441,Serhou Guirassy,87,Striker,Attacking Midfielder,False,False,False,0.010102688852531301
215441,Serhou Guirassy,87,Striker,Center Back,False,False,False,3.455742131005545e-17
215441,Serhou Guirassy,87,Striker,Central Midfielder,False,False,False,1.2372250662448277e-06
215441,Serhou Guirassy,87,Striker,Defensive Midfielder,False,False,False,3.4915708773893825e-13
215441,Serhou Guirassy,87,Striker,Fullback,False,False,False,2.9381092055562726e-14
215441,Serhou Guirassy,87,Striker,Striker,True,False,True,0.9893227389107011
215441,Serhou Guirassy,87,Striker,Wide Midfielder,False,False,False,9.360428951140276e-05
215441,Serhou Guirassy,87,Striker,Winger,False,False,False,0.00047973072181127757
192985,Kevin De Bruyne,87,Central Midfielder,Attacking Midfielder,False,True,True,0.5006141108652924
192985,Kevin De Bruyne,87,Central Midfielder,Center Back,False,False,False,5.509832467320255e-11
192985,Kevin De Bruyne,87,Central Midfielder,Central Midfielder,True,False,True,0.43737545750088896
192985,Kevin De Bruyne,87,Central Midfielder,Defensive Midfielder,False,False,False,0.00019657883535723083
192985,Kevin De Bruyne,87,Central Midfielder,Fullback,False,False,False,2.7548620945667887e-06
192985,Kevin De Bruyne,87,Central Midfielder,Striker,False,False,False,0.00011937078812996891
192985,Kevin De Bruyne,87,Central Midfielder,Wide Midfielder,False,False,False,0.03952335172777611
192985,Kevin De Bruyne,87,Central Midfielder,Winger,False,False,False,0.022168375365362404
228702,Frenkie de Jong,87,Central Midfielder,Attacking Midfielder,False,False,False,0.14304622480671034
228702,Frenkie de Jong,87,Central Midfielder,Center Back,False,False,False,8.335128064437004e-05
228702,Frenkie de Jong,87,Central Midfielder,Central Midfielder,True,False,True,0.7832256192869969
228702,Frenkie de Jong,87,Central Midfielder,Defensive Midfielder,False,True,True,0.06003537568599903
228702,Frenkie de Jong,87,Central Midfielder,Fullback,False,False,False,0.005178620167113338
228702,Frenkie de Jong,87,Central Midfielder,Striker,False,False,False,1.5216708330614154e-05
228702,Frenkie de Jong,87,Central Midfielder,Wide Midfielder,False,False,False,0.0061689832111352675
228702,Frenkie de Jong,87,Central Midfielder,Winger,False,False,False,0.002246608853070308
256079,Moisés Caicedo,87,Defensive Midfielder,Attacking Midfielder,False,False,False,5.937676877372902e-06
256079,Moisés Caicedo,87,Defensive Midfielder,Center Back,False,False,False,0.007917875860916471
256079,Moisés Caicedo,87,Defensive Midfielder,Central Midfielder,False,True,True,0.009123653565058547
256079,Moisés Caicedo,87,Defensive Midfielder,Defensive Midfielder,True,False,True,0.9827188664274614
256079,Moisés Caicedo,87,Defensive Midfielder,Fullback,False,False,False,0.00023361953666204376
256079,Moisés Caicedo,87,Defensive Midfielder,Striker,False,False,False,1.4432088274497274e-10
256079,Moisés Caicedo,87,Defensive Midfielder,Wide Midfielder,False,False,False,4.396693502526191e-08
256079,Moisés Caicedo,87,Defensive Midfielder,Winger,False,False,False,2.8217683755066934e-09
234378,Declan Rice,87,Defensive Midfielder,Attacking Midfielder,False,False,False,0.0004582025575635635
234378,Declan Rice,87,Defensive Midfielder,Center Back,False,False,False,0.0092886935637298
234378,Declan Rice,87,Defensive Midfielder,Central Midfielder,False,True,True,0.034303401752203574
234378,Declan Rice,87,Defensive Midfielder,Defensive Midfielder,True,False,True,0.44714801519965286
234378,Declan Rice,87,Defensive Midfielder,Fullback,False,False,False,0.5075452586731943
234378,Declan Rice,87,Defensive Midfielder,Striker,False,False,False,1.8361399145445418e-07
234378,Declan Rice,87,Defensive Midfielder,Wide Midfielder,False,False,False,0.0011750644828126152
234378,Declan Rice,87,Defensive Midfielder,Winger,False,False,False,8.11801568518827e-05
207865,Marquinhos,87,Center Back,Attacking Midfielder,False,False,False,1.0147167186272756e-07
207865,Marquinhos,87,Center Back,Center Back,True,False,True,0.9802460611648384
207865,Marquinhos,87,Center Back,Central Midfielder,False,False,False,6.328498657409266e-05
207865,Marquinhos,87,Center Back,Defensive Midfielder,False,False,False,0.018117878397814806
207865,Marquinhos,87,Center Back,Fullback,False,False,False,0.0015726421617708393
207865,Marquinhos,87,Center Back,Striker,False,False,False,1.9437755806807462e-10
207865,Marquinhos,87,Center Back,Wide Midfielder,False,False,False,3.028826070716552e-08
207865,Marquinhos,87,Center Back,Winger,False,False,False,1.3346917802322309e-09
241486,Jules Koundé,87,Right Back,Attacking Midfielder,False,False,False,2.0672480826114395e-07
241486,Jules Koundé,87,Right Back,Center Back,False,True,True,0.2923131712742803
241486,Jules Koundé,87,Right Back,Central Midfielder,False,False,False,2.2195935904378285e-05
241486,Jules Koundé,87,Right Back,Defensive Midfielder,False,False,False,0.0036959529174089697
241486,Jules Koundé,87,Right Back,Fullback,True,False,True,0.7039492242407455
241486,Jules Koundé,87,Right Back,Striker,False,False,False,7.251480032621592e-11
241486,Jules Koundé,87,Right Back,Wide Midfielder,False,True,True,1.894797888731595e-05
241486,Jules Koundé,87,Right Back,Winger,False,False,False,3.0085545052969345e-07
212198,Bruno Fernandes,87,Attacking Midfielder,Attacking Midfielder,True,False,True,0.6750574548887525
212198,Bruno Fernandes,87,Attacking Midfielder,Center Back,False,False,False,3.662129409302225e-11
212198,Bruno Fernandes,87,Attacking Midfielder,Central Midfielder,False,True,True,0.31639038390491103
212198,Bruno Fernandes,87,Attacking Midfielder,Defensive Midfielder,False,False,False,0.00014769539839509346
212198,Bruno Fernandes,87,Attacking Midfielder,Fullback,False,False,False,1.3830585846195422e-06
212198,Bruno Fernandes,87,Attacking Midfielder,Striker,False,False,False,0.00027717377142544205
212198,Bruno Fernandes,87,Attacking Midfielder,Wide Midfielder,False,False,False,0.004762368199659164
212198,Bruno Fernandes,87,Attacking Midfielder,Winger,False,False,False,0.0033635407416510786
243715,William Saliba,87,Center Back,Attacking Midfielder,False,False,False,1.2645533871224996e-11
243715,William Saliba,87,Center Back,Center Back,True,False,True,0.9987626893446114
243715,William Saliba,87,Center Back,Central Midfielder,False,False,False,1.2355477137137608e-07
243715,William Saliba,87,Center Back,Defensive Midfielder,False,False,False,0.0011458137276585607
243715,William Saliba,87,Center Back,Fullback,False,False,False,9.137327349940109e-05
243715,William Saliba,87,Center Back,Striker,False,False,False,4.39225252845372e-15
243715,William Saliba,87,Center Back,Wide Midfielder,False,False,False,8.659524439959776e-11
243715,William Saliba,87,Center Back,Winger,False,False,False,2.1402034866462737e-13
246191,Julián Alvarez,87,Striker,Attacking Midfielder,False,False,False,0.3722762788980928
246191,Julián Alvarez,87,Striker,Center Back,False,False,False,2.2689762191180592e-13
246191,Julián Alvarez,87,Striker,Central Midfielder,False,False,False,0.0007325636565790071
246191,Julián Alvarez,87,Striker,Defensive Midfielder,False,False,False,9.934361064272184e-09
246191,Julián Alvarez,87,Striker,Fullback,False,False,False,1.0185553237978629e-08
246191,Julián Alvarez,87,Striker,Striker,True,False,True,0.3941817737905414
246191,Julián Alvarez,87,Striker,Wide Midfielder,False,False,False,0.07297056843338201
