ID,Suitability: Attacking Midfielder,Suitability: Center Back,Suitability: Central Midfielder,Suitability: Defensive Midfielder,Suitability: Full Back,Suitability: Striker,Suitability: Wide Midfielder,Suitability: Winger
72018,,60.19798979952678,,,72.214,,,
72020,,,,,,,70.84,54.97194325843539
72034,51.32467017676775,,,,,,58.42974389351357,71.03399999999999
72071,,,,,,,68.28276377729158,76.128
72093,,,,,81.178,,,
72095,,70.89,,,,,,
72097,,73.77,,,,,,
72098,71.22,,61.90731058653,,,,50.78956944202549,
72099,,,,,73.196,,,
72100,,,,,72.468,,,
72107,,,,,68.848,,,
72128,,,,,72.64,,,
72130,,,,,72.93,,,
72133,,,,,,74.316,,
72134,,,,,,,72.246,58.30056249241632
72136,,,,,,,75.674,58.76725924703598
72137,,,53.272873041593925,,54.321111879620865,,76.318,
72138,74.27,,,,,,62.04566341490855,
72159,,,,,,,72.00491930701715,79.152
72180,,,,,59.69403217483594,,75.80199999999999,
72212,,,,,72.536,,,
72245,,,,,73.094,,,
72246,71.91,,71.31047289003689,,,,,
72250,,70.95137434491944,,,69.55799999999999,,,
72254,,75.58,,,,,,
72267,73.95,,,,,,63.890856918854105,52.33217191114166
72284,,,59.989706634070494,71.08,,,,
72293,51.30012412429594,,,,,,61.86417175658567,75.316
72299,,,,,72.556,,,
72301,,,,,70.048,,,
72315,,,,,76.03399999999999,,,
72328,,,,,,72.95,,
72335,,,72.348,50.35336636682626,51.572345545697296,,,
72337,,,,,,75.84,,
72354,56.97360722397232,,69.79333354756385,,,76.836,,
72360,70.73916826815098,,,,,75.43,56.93640914194852,
72365,71.14,,,,,,51.45315236358511,
72374,,,,,75.43,,,
72376,,72.03,,,,,,
72379,,,,,,,72.804,51.97217487597989
72382,,,,,,,74.298,52.42414990208041
72384,,,72.62,,50.141330279072825,,62.94890341668557,
72404,,,,,,71.82,,
72419,,,65.4145116785481,,,,74.092,
72420,,,,,,,73.374,53.045031260422164
72423,,,,,75.412,,,
72425,,79.26,,,,,,
72426,,,,,74.55199999999999,,,
72454,,,71.146,53.711223941175234,,,,
72456,47.52561841515175,,47.94551389738647,,,,72.078,
72457,,,,,,73.712,,
72459,,,,,,70.374,,
72465,,,,,71.22800000000001,,,
72537,,71.7,,,,,,
72538,,72.49,,,,,,
72541,,,72.25399999999999,,,,,
72542,54.33640766715377,,,,,,62.22365624596842,73.73
72555,,,,,73.812,,,
72556,,74.91,,,,,,
72561,,,75.554,53.09481676137238,64.98274163748766,,,
72586,,55.378289678599884,,74.71000000000001,,,,
72589,,,,,,75.036,,
72598,,,50.41474206900038,,64.95124586142794,,72.012,
72611,73.53999999999999,,,,,,65.56113145645486,56.04561914823894
72613,,,,,,,69.7336078306485,74.848
72616,,74.98,,,,,,
72617,,,,,73.882,,,
72618,,,,,75.356,,,
72619,,,51.29549300683121,71.71,,,,
72620,,77.17,,,,,,
72622,50.95634847917306,,,,,54.6577351856132,76.402,
72624,,,,53.21711923186341,70.638,,,
72627,,,57.252540825524214,51.77626244719522,72.42,,,
72637,,71.68,,,,,,
72654,,,73.984,74.66292757193321,,,,
72656,,,,,,,70.83680799536054,79.648
72658,,,,,,,75.886,59.6828316307234
72669,52.801059867973265,,68.4241297823456,,,,76.63,
72674,,,,,74.61,,56.31768474733473,
72675,,,,,,,73.252,54.490734372539876
72677,,,73.29,55.147823529602874,,,,
72691,,71.73,,,,,,
72694,73.49,,,,,,62.961265033437364,53.30668472914441
72695,,66.33996392031665,,71.16,,,,
72698,,74.19,,51.16615564069741,,,,
72699,71.42,,60.07469213391953,,,,50.135149812706764,
72703,,,,,72.53,,,
72707,,,49.34630914702413,72.95,,,,
72708,,76.42,,,,,,
72711,,63.27173981234989,,,73.68,,,
72721,,,,,76.626,,,
72722,,72.95,,,,,,
72745,,80.09,,,,,,
72754,,,,,,,77.194,57.8966549887152
72758,,,71.06,54.2107801125675,,,,
72775,,,,,62.351003123871855,,73.97,
72776,,,,,73.846,,,
72779,,,,,,71.644,,
72780,,57.00509013855983,,,71.736,,,
72790,,,73.438,62.645464487139876,,,,
72809,,,,,72.062,,,
72817,,,,,76.18,,57.47829264716562,
72824,70.87,,68.72359527474916,,,,,
72825,,,,,,57.46175921801247,78.012,61.61821936803611
72831,,77.51,,,,,,
72833,,,,,69.554,,,
72834,,,75.902,65.6863587093657,,,,
72845,,75.13,,,,,,
72849,,,73.134,54.21103235554576,53.339424004190356,,,
72850,,,,,76.992,,57.56013166224223,
72852,,,,,,77.28399999999999,,
72856,,,,,74.828,,,
72857,,,,,73.856,,,
72858,,,74.724,,,,,
