ID,Name,Position,Team,League,Nation,OVR,Preferred foot,Alternative positions,Age,Height,Weight,Original Role Group,Evaluated Role,Role Source,Position Fit Score,Role Attribute Score,Player Role Suitability
248474,Tino Anjorin,Central Midfielder,Torino,Serie A Enilive,England,68,Right,['CAM'],24,"185cm / 6'1""",81kg / 179lb,Central Midfielder,Attacking Midfielder,Flexible Position 1,22.04982179663842,68.05,56.5324554491596
226430,Sead Hakšabanović,Left Midfielder,Malmö FF,Allsvenskan,Montenegro,70,Right,['LW'],26,"173cm / 5'8""",74kg / 163lb,Wide Midfielder,Attacking Midfielder,Flexible Position 2,17.75633796723971,68.75,56.43908449180993
71998,Tyrique George,Left Midfielder,Chelsea,Premier League,England,71,Right,"['RM', 'ST', 'LW']",20,"185cm / 6'1""",80kg / 176lb,Wide Midfielder,Attacking Midfielder,Flexible Position 2,17.495201004546022,68.0,56.423800251136505
242332,Gianluca Busio,Central Midfielder,Venezia,Serie BKT,United States,74,Right,['CAM'],23,"170cm / 5'7""",61kg / 134lb,Central Midfielder,Attacking Midfielder,Flexible Position 1,10.635518231562841,69.65,56.41887955789072
215061,Darío Benedetto,Striker,Newell's,LPF,Argentina,71,Right,,35,"179cm / 5'10""",79kg / 174lb,Striker,Attacking Midfielder,Flexible Position 1,12.857005748462718,70.75,56.364251437115676
234913,Christian Fassnacht,Right Midfielder,BSC Young Boys,Brack Super League,Switzerland,72,Right,"['LM', 'ST', 'RW']",32,"185cm / 6'1""",77kg / 170lb,Wide Midfielder,Attacking Midfielder,Flexible Position 2,14.739751793165409,68.65,56.34493794829135
74835,Santiago Lencina,Right Winger,River Plate,LPF,Argentina,69,Left,"['CAM', 'CM', 'RM']",20,"171cm / 5'7""",65kg / 143lb,Winger,Attacking Midfielder,Flexible Position 2,22.5952186051882,66.35,56.338804651297046
257397,Milan Robin,Right Midfielder,Le Mans FC,Ligue 2 BKT,France,65,Right,"['CM', 'RW']",26,"186cm / 6'1""",70kg / 154lb,Wide Midfielder,Attacking Midfielder,Flexible Position 2,33.41595268658245,62.9,56.26398817164561
214665,Juan Ramírez,Central Midfielder,Lanús,LPF,Argentina,70,Left,"['LM', 'CAM']",32,"174cm / 5'9""",72kg / 159lb,Central Midfielder,Attacking Midfielder,Flexible Position 2,15.33994184767485,69.8,56.254985461918714
76739,Pablo García,Right Midfielder,Real Betis,LALIGA EA SPORTS,Spain,66,Left,"['ST', 'LM', 'RW']",19,"168cm / 5'6""",67kg / 148lb,Wide Midfielder,Attacking Midfielder,Flexible Position 1,30.43871349286129,63.85,56.249678373215325
254819,Kacper Urbański,Central Midfielder,Legia Warszawa,PKO BP Ekstraklasa,Poland,68,Right,['CAM'],21,"178cm / 5'10""",58kg / 128lb,Central Midfielder,Attacking Midfielder,Flexible Position 1,22.97703234462949,66.75,56.24425808615737
75280,Daniel Gleiber,Central Midfielder,1. FSV Mainz 05,Bundesliga,Germany,61,Left,['CAM'],21,"178cm / 5'10""",72kg / 159lb,Central Midfielder,Attacking Midfielder,Flexible Position 1,38.29010430730523,63.3,56.24252607682631
253895,Robert Hernández,Left Winger,Carabobo FC,Libertadores,Venezuela,65,Right,"['RW', 'LM']",32,"174cm / 5'9""",68kg / 150lb,Winger,Attacking Midfielder,Flexible Position 2,31.54372241547413,64.0,56.23593060386853
73505,Álex Calatrava,Right Midfielder,CD Castellón,LALIGA HYPERMOTION,Spain,71,Left,"['CM', 'RW']",25,"175cm / 5'9""",69kg / 152lb,Wide Midfielder,Attacking Midfielder,Flexible Position 2,14.1442989380381,69.55,56.20607473450953
