Formation,Attribute,Formation Demand,OVR Baseline Supply,Role-Adjusted Supply,OVR Baseline Gap,Role-Adjusted Gap,OVR Baseline Absolute Gap,Role-Adjusted Absolute Gap,OVR Baseline Shortfall,Role-Adjusted Shortfall,Absolute Gap Improvement
3-5-2,PAC,67.22082756282045,79.1,75.7,11.879172437179548,8.479172437179557,11.879172437179548,8.479172437179557,0.0,0.0,3.3999999999999915
3-5-2,SHO,53.803273030103924,75.3,68.6,21.496726969896073,14.79672696989607,21.496726969896073,14.79672696989607,0.0,0.0,6.700000000000003
3-5-2,PAS,59.12867995810616,78.6,75.6,19.471320041893833,16.471320041893833,19.471320041893833,16.471320041893833,0.0,0.0,3.0
3-5-2,DRI,63.919811212179084,83.2,78.9,19.28018878782092,14.980188787820921,19.28018878782092,14.980188787820921,0.0,0.0,4.299999999999997
3-5-2,DEF,56.2180228147084,68.2,75.7,11.981977185291605,19.481977185291605,11.981977185291605,19.481977185291605,0.0,0.0,-7.5
3-5-2,PHY,68.99607954878302,80.2,81.2,11.203920451216987,12.203920451216987,11.203920451216987,12.203920451216987,0.0,0.0,-1.0
3-4-3,PAC,69.51542696262592,81.0,80.6,11.484573037374076,11.08457303737407,11.484573037374076,11.08457303737407,0.0,0.0,0.4000000000000057
3-4-3,SHO,54.4155476345628,75.7,70.2,21.284452365437204,15.784452365437204,21.284452365437204,15.784452365437204,0.0,0.0,5.5
3-4-3,PAS,59.76679930000802,78.5,76.2,18.733200699991983,16.433200699991986,18.733200699991983,16.433200699991986,0.0,0.0,2.299999999999997
3-4-3,DRI,64.84880614738522,82.9,80.7,18.051193852614787,15.851193852614784,18.051193852614787,15.851193852614784,0.0,0.0,2.200000000000003
3-4-3,DEF,53.66828531953256,66.0,69.9,12.331714680467442,16.231714680467448,12.331714680467442,16.231714680467448,0.0,0.0,-3.9000000000000057
3-4-3,PHY,66.76718259583504,80.7,79.3,13.932817404164965,12.532817404164959,13.932817404164965,12.532817404164959,0.0,0.0,1.4000000000000057
5-3-2,PAC,66.81719334835392,80.3,75.7,13.482806651646072,8.882806651646078,13.482806651646072,8.882806651646078,0.0,0.0,4.599999999999994
5-3-2,SHO,52.38985894199227,71.8,68.6,19.410141058007724,16.21014105800772,19.410141058007724,16.21014105800772,0.0,0.0,3.200000000000003
5-3-2,PAS,58.90564033860503,78.8,75.6,19.894359661394965,16.694359661394962,19.894359661394965,16.694359661394962,0.0,0.0,3.200000000000003
5-3-2,DRI,63.45276016573858,82.7,78.9,19.24723983426142,15.447239834261424,19.24723983426142,15.447239834261424,0.0,0.0,3.799999999999997
5-3-2,DEF,58.43044958008759,75.4,75.7,16.969550419912416,17.269550419912413,16.969550419912416,17.269550419912413,0.0,0.0,-0.29999999999999716
5-3-2,PHY,69.73829140738181,79.4,81.2,9.661708592618197,11.461708592618194,9.661708592618197,11.461708592618194,0.0,0.0,-1.7999999999999972
